"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Acknowledgment Number","TCP Segment Len","Info"
"138","1.264489","128.119.245.12","10.135.49.223","TCP","54","1","18229","0","80  >  63344 [ACK] Seq=1 Ack=18229 Win=65664 Len=0"
"139","1.264547","10.135.49.223","128.119.245.12","TCP","1514","40129","1","1460","63344  >  80 [ACK] Seq=40129 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"140","1.264547","10.135.49.223","128.119.245.12","TCP","1514","41589","1","1460","63344  >  80 [ACK] Seq=41589 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"141","1.264547","10.135.49.223","128.119.245.12","TCP","1514","43049","1","1460","63344  >  80 [ACK] Seq=43049 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"142","1.264547","10.135.49.223","128.119.245.12","TCP","1514","44509","1","1460","63344  >  80 [ACK] Seq=44509 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"143","1.264547","10.135.49.223","128.119.245.12","TCP","1514","45969","1","1460","63344  >  80 [ACK] Seq=45969 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"144","1.264547","10.135.49.223","128.119.245.12","TCP","1514","47429","1","1460","63344  >  80 [ACK] Seq=47429 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"145","1.265551","128.119.245.12","10.135.49.223","TCP","54","1","28449","0","80  >  63344 [ACK] Seq=1 Ack=28449 Win=86144 Len=0"
"146","1.265551","128.119.245.12","10.135.49.223","TCP","54","1","34289","0","80  >  63344 [ACK] Seq=1 Ack=34289 Win=97792 Len=0"
"147","1.265633","10.135.49.223","128.119.245.12","TCP","1514","48889","1","1460","63344  >  80 [PSH, ACK] Seq=48889 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"148","1.265633","10.135.49.223","128.119.245.12","TCP","1514","50349","1","1460","63344  >  80 [ACK] Seq=50349 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"149","1.265633","10.135.49.223","128.119.245.12","TCP","1514","51809","1","1460","63344  >  80 [ACK] Seq=51809 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"150","1.265633","10.135.49.223","128.119.245.12","TCP","1514","53269","1","1460","63344  >  80 [ACK] Seq=53269 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"151","1.265633","10.135.49.223","128.119.245.12","TCP","1514","54729","1","1460","63344  >  80 [ACK] Seq=54729 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"152","1.265633","10.135.49.223","128.119.245.12","TCP","1514","56189","1","1460","63344  >  80 [ACK] Seq=56189 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"153","1.265633","10.135.49.223","128.119.245.12","TCP","1514","57649","1","1460","63344  >  80 [ACK] Seq=57649 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"154","1.265633","10.135.49.223","128.119.245.12","TCP","1514","59109","1","1460","63344  >  80 [ACK] Seq=59109 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"155","1.265633","10.135.49.223","128.119.245.12","TCP","1514","60569","1","1460","63344  >  80 [ACK] Seq=60569 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"156","1.265633","10.135.49.223","128.119.245.12","TCP","1514","62029","1","1460","63344  >  80 [ACK] Seq=62029 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"157","1.265633","10.135.49.223","128.119.245.12","TCP","1514","63489","1","1460","63344  >  80 [ACK] Seq=63489 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"158","1.265633","10.135.49.223","128.119.245.12","TCP","1514","64949","1","1460","63344  >  80 [PSH, ACK] Seq=64949 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"159","1.265633","10.135.49.223","128.119.245.12","TCP","1514","66409","1","1460","63344  >  80 [ACK] Seq=66409 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"160","1.265633","10.135.49.223","128.119.245.12","TCP","1514","67869","1","1460","63344  >  80 [ACK] Seq=67869 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"161","1.265633","10.135.49.223","128.119.245.12","TCP","1514","69329","1","1460","63344  >  80 [ACK] Seq=69329 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"162","1.265633","10.135.49.223","128.119.245.12","TCP","1514","70789","1","1460","63344  >  80 [ACK] Seq=70789 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"163","1.265633","10.135.49.223","128.119.245.12","TCP","1514","72249","1","1460","63344  >  80 [ACK] Seq=72249 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"164","1.265633","10.135.49.223","128.119.245.12","TCP","1514","73709","1","1460","63344  >  80 [ACK] Seq=73709 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"165","1.265633","10.135.49.223","128.119.245.12","TCP","1514","75169","1","1460","63344  >  80 [ACK] Seq=75169 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"166","1.265633","10.135.49.223","128.119.245.12","TCP","1514","76629","1","1460","63344  >  80 [ACK] Seq=76629 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"167","1.265633","10.135.49.223","128.119.245.12","TCP","1514","78089","1","1460","63344  >  80 [ACK] Seq=78089 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"168","1.265633","10.135.49.223","128.119.245.12","TCP","1514","79549","1","1460","63344  >  80 [ACK] Seq=79549 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"169","1.266142","128.119.245.12","10.135.49.223","TCP","54","1","35749","0","80  >  63344 [ACK] Seq=1 Ack=35749 Win=100736 Len=0"
"170","1.269808","128.119.245.12","10.135.49.223","TCP","54","1","40129","0","80  >  63344 [ACK] Seq=1 Ack=40129 Win=109568 Len=0"
